"202";"202";"sites/default/files/pictures/978-3-88713-012-X.jpg";"Weber & Zucht";"1986";"978-3-88713-012-1";"12.00";"253"
"206";"206";"sites/default/files/pictures/978-3-88713-034-0.jpg";"Weber & Zucht";;"978-3-88713-034-3";"5.00";"77"
"208";"208";"sites/default/files/pictures/978-3-88713-032-4.jpg";;;"978-3-88713-032-9";"8.00";"160"
"209";"209";;"Weber & Zucht";;"978-3-88713-016-2";"7.00";
"210";"210";"sites/default/files/pictures/978-3-88713-004-9.jpg";"Weber & Zucht";;"978-3-88713-004-6";"4.00";"54"
"211";"211";"sites/default/files/pictures/978-3-88713-005-7.jpg";"Weber & Zucht";;"978-3-88713-005-3";"4.00";"45"
"212";"212";"sites/default/files/pictures/978-3-88713-027-8.jpg";"Weber & Zucht";;"978-3-88713-027-5";"5.00";"71"
"213";"213";"sites/default/files/pictures/978-3-88713-029-9.jpg";"Weber & Zucht";;"978-3-88713-029-9";"10.00";"192"
"217";"217";;"Weber & Zucht";;"978-3-88713-022-7";"4.00";"65"
"219";"219";;;;"978-3-88713-024-3";"6.00";"101"
"220";"220";;"Weber & Zucht";;"978-3-88713-042-1";"4.00";"47"
"221";"221";"sites/default/files/pictures/978-3-88713-030-5.jpg";"Weber & Zucht";"1981";"978-3-88713-030-5";"10.00";"135"
"222";"222";;"Weber & Zucht";"1981";"978-3-88713-017-0";"6.00";"74"
"223";"223";;"Weber & Zucht";"1979";"978-3-88713-018-9";"7.00";"113"
"224";"224";;"Weber & Zucht";"1979";"978-3-88713-021-9";"7.00";"141"
"225";"225";;"Weber & Zucht";"1981";"978-3-88713-020-0";"6.00";"118"
"228";"228";"sites/default/files/pictures/978-3-88713-045-9.jpg";"Weber & Zucht";;"978-3-88713-045-9";"10.00";"128"
"229";"229";"sites/default/files/pictures/81-7201-106-7.jpg";"Sahitya Akademi, Weber & Zucht";;"81-7201-106-7";"5.00";"65"
"369";"369";"sites/default/files/pictures/978-3-931836-23-8.jpg";" Lukas";"2001";"978-3-931836-23-8";"25.00";"317"
"372";"372";;"Klemm & Oelschläger";"2002";"978-3-932577-37-X";"20.00";"439"
"230";"230";;"Donat";"1991";" 978-3-924444-51-8";"24.80";"602 Seiten"
"231";"231";;"Donat";"1995";"978-3-924444-02-0";"20.00";"264 Seiten"
"232";"232";;"BIS-Vlg";"1994";"978-3-8142-0477-2";"15.30";"568 Seiten"
"233";"233";;"Archiv Aktiv";"1997";"978-3-9805270-0-X";"5.20";"83 Seiten"
"234";"234";;"Volker Nick, Volker Scheub, Christoph Then";"1993";"978-3-930274-00-0";"15.40";"227"
"235";"235";;"Donat";"1992";"978-3-92444-59-5";"12.80";"219"
"236";"236";;"Donat";"1992";"978-3-924444-49-5";"15.40";"265"
"237";"237";"sites/default/files/pictures/978-3-931737-85-6.jpg";"Donat";"1999";"978-3-931737-85-6";"15.40";
"238";"238";"sites/default/files/pictures/978-3-412-17204-6.jpg";"Böhlau";"2005";"978-3-412-17204-6";"34.90";"390"
"239";"239";;" KRAUSSREINHARDT";"2004";"978-3-9810040-0-7";"19.90";"240"
"240";"240";;"Hackbarth";"1991";;"5.00";"34"
"241";"241";"sites/default/files/pictures/978-3-492-20001-1.jpg";"Piper";;"978-3-492-20001-1";"8.00";"144"
"242";"242";;"Institut für Friedensarbeit";;"978-3-932444-00-0";"1.30";"15"
"243";"243";;"Bund für Soziale Verteidigung";"1994";"978-3-9803893-0-3";"5.00";"1994"
"494";"494";;"Trotzdem";"1996";"978-3-922209-67-6";"19,00";"336"
"245";"245";"sites/default/files/pictures/978-3-87387-535-7.jpg";"Junfermann";"2003";"978-3-87387-535-7";"9.90";"112"
"246";"246";;"LIT";"2001";"978-3-8258-5731-8";"10.90";"2008"
"493";"493";;"Junfermann";"2005";"978-3-87387-600-2";"5,90";"48"
"248";"248";;"Junfermann";"2003";"978-3-87387-547-0";"18.00";"144"
"249";"249";;"Suhrkamp";"1981";"978-3-518-37168-8";"9.00";"267"
"250";"250";;"agenda";"1995";"978-3-929440-72-5";"10.00";"142"
"251";"251";"sites/default/files/pictures/978-3-9804408-5-1.jpg";"Versöhnungsbund";"2002";"978-3-9804408-5-1";"17.00";"280"
"252";"252";"sites/default/files/pictures/978-3-499-17479-7.jpg";" Rowohlt Taschenbuch";"1982";"978-3-499-17479-7";"7.50";"174"
"253";"253";;"Unrast";"2003";"978-3-89771-010-2";"14.00";"167"
"254";"254";"sites/default/files/pictures/978-3-8258-5600-7.jpg";"LIT";"2001";"978-3-8258-5600-7";"19.90";"504"
"255";"255";"sites/default/files/pictures/978-3-87387-469-5.jpg";"Junfermann";"2001";"978-3-87387-469-5";"15.50";"176"
"256";"256";;" Alibri";"2003";"978-3-932710-46-9";"12.00";"173"
"453";"453";;"Edition AV";"2005";"978-3-936049-49-7";"9.80";"56"
"258";"258";"sites/default/files/pictures/978-3-89403-098-8.jpg";" iskopress";"2002";"978-3-89403-098-8";"29.90";"325"
"259";"259";"sites/default/files/pictures/978-3-87387-580-7.jpg";"Junfermann";"2006";"978-3-87387-580-7";"19.90";"192"
"260";"260";;"Junfermann";"2003";"978-3-87387-538-8";"19.50";"232"
"261";"261";;"Junfermann";"2005";"978-3-87387-597-5";"39.80";"144"
"262";"262";"sites/default/files/pictures/978-3-87387-574-6.jpg";"Junfermann";"2005";"978-3-87387-574-6";"7.90";"72"
"263";"263";"sites/default/files/pictures/978-3-87387-577-7.jpg";"Junfermann";"2005";"978-3-87387-577-7";"19.50";"224"
"264";"264";"sites/default/files/pictures/978-3-87387-599-9.jpg";"Junfermann";"2004";"978-3-87387-599-9";"9.95";"96"
"265";"265";"sites/default/files/pictures/978-3-87387-454-1.jpg";"Junfermann";;"978-3-87387-454-1";"19.50";"240"
"266";"266";"sites/default/files/pictures/978-3-451-05447-1.jpg";" Herder";"2006";"978-3-451-05447-1";"8.95";"160"
"267";"267";"sites/default/files/pictures/978-3-87387-568-5.jpg";"Junfermann";"2004";"978-3-87387-568-5";"5.90";"40"
"268";"268";"sites/default/files/pictures/978-3-87387-566-1.jpg";"Junfermann";;"978-3-87387-566-1";"16.90";"176"
"269";"269";"sites/default/files/pictures/978-3-87387-575-3.jpg";"Junfermann";"2005";"978-3-87387-575-3";"7.90";"72"
"270";"270";"sites/default/files/pictures/978-3-87387-576-0.jpg";"Junfermann";"2005";"978-3-87387-576-0";"7.50";"64"
"271";"271";;" Vandenhoeck & Ruprecht";"1998";"978-3-525-01365-6";"26.90";"322"
"272";"272";;"Christiana";"1988";"978-3-7171-0777-4";"9.00";"356"
"273";"273";;"Versöhnungsbund";"2005";"978-3-9804408-6-8";"10.00";"173"
"274";"274";;"Connection e.V.";"2004";;"5.00";"64"
"275";"275";"sites/default/files/pictures/978-3-525-35786-6.jpg";" Vandenhoeck & Ruprecht";"1998";"978-3-525-35786-6";"44.90";"419"
"276";"276";;"Mit uns gegen die Wehrpflicht e.V.";;"978-3931977-02-1";"3.00";"50"
"277";"277";"sites/default/files/pictures/978-3-926958-26-6.jpg";"Edition Temmen";"1990";"978-3-926958-26-6";"11.90";"204"
"279";"279";;"Herder";"1997";"978- 3-451-04564-8";"8.60";"151"
"280";"280";;"Hinder + Deelmann";"1977";"978-3-97348-162-6";"18.50";"454"
"281";"281";"sites/default/files/pictures/978-3-518-37453-2.jpg";"Suhrkamp";"1983";"978-3-518-37453-2";"9.00";"298"
"282";"282";"sites/default/files/pictures/978-3-8334-2226-2.jpg";"Books on Demand";"2004";"978-3-8334-2226-3";"28.00";"488"
"283";"283";"sites/default/files/pictures/978-3-932444-01-9.jpg";" Institut für Friedenspädagogik Tübingen";"1999";"978-3-932444-01-2";"14.00";"231"
"284";"284";;"Komitee für Grundrechte und Demokratie";"1996";"978-3-88906-064-1";"10.00";"320"
"287";"287";;"Diogenes";;"978-3-257-06460-5";"12,90";"151"
"288";"288";;"Waldkircher";"1984";"978-3-87885-056-5";"5.00";"275"
"289";"289";;"Gandhi-Informations-Zentrum";"1998";"978-3-930093-11-1";"9.80";"134"
"290";"290";;"OPPO";"1988";"978-926880-01-5";"7.60";"113"
"291";"291";"sites/default/files/pictures/978-3-922833-97-7.jpg";"Institu für Friedenspädagogik";"2003";"978-3-922833-97-0";"14.00";"243"
"292";"292";;"Max Niemeyer";"1993";"978-3-484-35038-5";"44.00";"274"
"293";"293";;"Eugen Diederichs";"1999";"978-3-424-01481-8";"11.00";"325"
"294";"294";"sites/default/files/pictures/978-3-87348-111-1.jpg";"Hinder + Deelmann";"1982";"978-3-87348-111-4";"9.20";"168"
"295";"295";;"Gandhi-Informations-Zentrum";"2000";"978-3-930093-14-6";"7.80";"125"
"296";"296";;"Hinder + Deelmann";"1974";"978-3-87348-089-1";"9.20";"126"
"299";"299";;"Hinder + Deelmann";"1987";"978-3-87348-124-3";"20.00";"395"
"300";"300";;"OPPO";"1991";"978-3-9802739-2-X";"6.50";"47"
